"age group","county name","cases","deaths","hospitalization"
"30-39 years","Colquitt","458","0","16"
"40-49 years","Colquitt","473","6","35"
"50-59 years","Colquitt","438","11","34"
"60-69 years","Colquitt","301","11","36"
"70-79 years","Colquitt","185","9","41"
"80 & Older years","Colquitt","127","19","25"
"<1 years","Colquitt","13","0","0"
"Unknown years","Colquitt","11","0","0"
"01-04 years","Columbia","108","0","2"
"05-09 years","Columbia","247","0","0"
"10-17 years","Columbia","936","0","1"
"18-29 years","Columbia","2023","0","21"
"30-39 years","Columbia","1786","2","21"
"40-49 years","Columbia","1622","7","41"
"50-59 years","Columbia","1409","12","64"
"60-69 years","Columbia","898","18","76"
"70-79 years","Columbia","492","34","83"
"80 & Older years","Columbia","275","52","75"
"<1 years","Columbia","28","0","1"
"Unknown years","Columbia","19","0","0"
"01-04 years","Cook","12","0","1"
"05-09 years","Cook","21","0","0"
"10-17 years","Cook","89","0","1"
"18-29 years","Cook","219","0","6"
"30-39 years","Cook","163","0","4"
"40-49 years","Cook","171","0","13"
"50-59 years","Cook","155","2","17"
"60-69 years","Cook","118","8","18"
"70-79 years","Cook","95","10","28"
"80 & Older years","Cook","52","13","14"
"<1 years","Cook","6","0","0"
"Unknown years","Cook","2","0","0"
"01-04 years","Coweta","89","0","0"
"05-09 years","Coweta","164","0","0"
"10-17 years","Coweta","540","0","4"
"18-29 years","Coweta","1382","1","14"
"30-39 years","Coweta","1046","0","21"
"40-49 years","Coweta","1126","4","28"
"50-59 years","Coweta","1301","15","51"
"60-69 years","Coweta","808","22","44"
"70-79 years","Coweta","510","26","53"
"80 & Older years","Coweta","280","46","33"
"<1 years","Coweta","25","0","1"
"Unknown years","Coweta","21","0","0"
"01-04 years","Crawford","2","0","0"
"05-09 years","Crawford","1","0","0"
"10-17 years","Crawford","26","0","0"
"18-29 years","Crawford","69","0","2"
"30-39 years","Crawford","64","0","5"
"40-49 years","Crawford","55","1","3"
"50-59 years","Crawford","105","3","13"
"60-69 years","Crawford","93","3","14"
"70-79 years","Crawford","37","3","14"
"80 & Older years","Crawford","21","0","7"
"01-04 years","Crisp","20","0","0"
"05-09 years","Crisp","24","0","0"
"10-17 years","Crisp","92","0","1"
"18-29 years","Crisp","201","0","7"
"30-39 years","Crisp","200","1","13"
"40-49 years","Crisp","187","1","17"
"50-59 years","Crisp","189","4","25"
"60-69 years","Crisp","180","11","31"
"70-79 years","Crisp","94","8","30"
"80 & Older years","Crisp","69","11","16"
