"age group","county name","cases","deaths","hospitalization"
"10-17 years","Richmond","1283","0","10"
"18-29 years","Richmond","4031","5","50"
"30-39 years","Richmond","2971","4","71"
"40-49 years","Richmond","2407","18","94"
"50-59 years","Richmond","2435","27","183"
"60-69 years","Richmond","1777","55","221"
"70-79 years","Richmond","974","71","247"
"80 & Older years","Richmond","601","121","241"
"<1 years","Richmond","75","0","2"
"Unknown years","Richmond","31","0","1"
"01-04 years","Rockdale","45","0","0"
"05-09 years","Rockdale","92","0","0"
"10-17 years","Rockdale","281","0","12"
"18-29 years","Rockdale","991","2","56"
"30-39 years","Rockdale","771","3","71"
"40-49 years","Rockdale","897","6","92"
"50-59 years","Rockdale","864","7","131"
"60-69 years","Rockdale","557","20","116"
"70-79 years","Rockdale","340","34","113"
"80 & Older years","Rockdale","177","31","63"
"<1 years","Rockdale","6","0","1"
"Unknown years","Rockdale","7","0","0"
"01-04 years","Schley","5","0","0"
"05-09 years","Schley","4","0","0"
"10-17 years","Schley","14","0","0"
"18-29 years","Schley","45","0","2"
"30-39 years","Schley","18","0","0"
"40-49 years","Schley","27","0","2"
"50-59 years","Schley","30","0","3"
"60-69 years","Schley","25","1","8"
"70-79 years","Schley","11","0","2"
"80 & Older years","Schley","5","1","1"
"<1 years","Schley","1","0","0"
"01-04 years","Screven","8","0","0"
"05-09 years","Screven","15","0","0"
"10-17 years","Screven","54","0","0"
"18-29 years","Screven","121","0","3"
"30-39 years","Screven","111","0","2"
"40-49 years","Screven","88","1","4"
"50-59 years","Screven","97","1","12"
"60-69 years","Screven","123","1","14"
"70-79 years","Screven","65","5","14"
"80 & Older years","Screven","37","7","9"
"<1 years","Screven","3","0","0"
"Unknown years","Screven","2","0","0"
"01-04 years","Seminole","13","0","0"
"05-09 years","Seminole","15","0","0"
"10-17 years","Seminole","71","0","0"
"18-29 years","Seminole","100","0","0"
"30-39 years","Seminole","83","0","0"
"40-49 years","Seminole","86","0","5"
"50-59 years","Seminole","107","1","6"
"60-69 years","Seminole","118","2","21"
"70-79 years","Seminole","66","5","14"
"80 & Older years","Seminole","25","6","10"
"<1 years","Seminole","3","0","0"
"01-04 years","Spalding","53","0","2"
"05-09 years","Spalding","45","0","1"
"10-17 years","Spalding","160","0","2"
"18-29 years","Spalding","583","1","25"
"30-39 years","Spalding","509","3","28"
"40-49 years","Spalding","515","2","36"
"50-59 years","Spalding","538","10","61"
"60-69 years","Spalding","434","21","75"
"70-79 years","Spalding","311","32","66"
"80 & Older years","Spalding","201","42","59"
"<1 years","Spalding","9","0","0"
"Unknown years","Spalding","6","0","0"
"01-04 years","Stephens","16","0","0"
"05-09 years","Stephens","41","0","1"
"10-17 years","Stephens","168","0","3"
"18-29 years","Stephens","485","1","13"
"30-39 years","Stephens","314","0","8"
"40-49 years","Stephens","403","1","21"
"50-59 years","Stephens","415","4","36"
"60-69 years","Stephens","416","17","55"
"70-79 years","Stephens","279","20","58"
"80 & Older years","Stephens","148","24","36"
"<1 years","Stephens","5","0","0"
"Unknown years","Stephens","44","0","0"
"01-04 years","Stewart","3","0","0"
"05-09 years","Stewart","2","0","0"
"10-17 years","Stewart","13","0","0"
"18-29 years","Stewart","141","0","20"
"30-39 years","Stewart","182","1","25"
"40-49 years","Stewart","132","1","23"
"50-59 years","Stewart","73","1","12"
"60-69 years","Stewart","65","10","25"
"70-79 years","Stewart","24","3","5"
"80 & Older years","Stewart","21","4","6"
"<1 years","Stewart","1","0","0"
"Unknown years","Stewart","14","0","4"
"01-04 years","Sumter","19","0","0"
"05-09 years","Sumter","27","0","0"
"10-17 years","Sumter","74","0","2"
"18-29 years","Sumter","300","1","11"
"30-39 years","Sumter","250","1","20"
"40-49 years","Sumter","247","4","19"
"50-59 years","Sumter","266","2","40"
"60-69 years","Sumter","244","23","66"
"70-79 years","Sumter","159","25","43"
"80 & Older years","Sumter","101","25","45"
"<1 years","Sumter","10","0","0"
"Unknown years","Sumter","2","0","0"
"01-04 years","Talbot","7","0","0"
"05-09 years","Talbot","3","0","0"
"10-17 years","Talbot","29","0","0"
"18-29 years","Talbot","50","0","1"
"30-39 years","Talbot","29","0","1"
"40-49 years","Talbot","55","1","4"
"50-59 years","Talbot","59","3","5"
"60-69 years","Talbot","53","2","9"
"70-79 years","Talbot","35","5","6"
"80 & Older years","Talbot","19","2","8"
"Unknown years","Talbot","2","0","0"
"01-04 years","Taliaferro","1","0","0"
"05-09 years","Taliaferro","1","0","0"
"10-17 years","Taliaferro","6","0","0"
"18-29 years","Taliaferro","11","0","0"
"30-39 years","Taliaferro","14","0","0"
"40-49 years","Taliaferro","18","0","1"
"50-59 years","Taliaferro","9","0","0"
"60-69 years","Taliaferro","19","0","3"
"70-79 years","Taliaferro","10","0","2"
"80 & Older years","Taliaferro","4","0","2"
"01-04 years","Tattnall","27","0","0"
"05-09 years","Tattnall","40","0","0"
"10-17 years","Tattnall","146","0","0"
"18-29 years","Tattnall","294","0","1"
"30-39 years","Tattnall","263","1","3"
"40-49 years","Tattnall","253","0","7"
"50-59 years","Tattnall","275","5","21"
"60-69 years","Tattnall","221","12","30"
"70-79 years","Tattnall","105","11","31"
"80 & Older years","Tattnall","45","4","8"
"<1 years","Tattnall","6","0","0"
"Unknown years","Tattnall","8","0","1"
"01-04 years","Taylor","12","0","1"
"05-09 years","Taylor","12","0","0"
"10-17 years","Taylor","47","0","1"
"18-29 years","Taylor","72","0","1"
"30-39 years","Taylor","47","0","3"
"40-49 years","Taylor","80","1","7"
"50-59 years","Taylor","66","0","15"
"60-69 years","Taylor","56","5","16"
"70-79 years","Taylor","33","4","9"
"80 & Older years","Taylor","26","9","11"
"<1 years","Taylor","4","0","0"
"01-04 years","Telfair","7","0","0"
"05-09 years","Telfair","11","0","0"
"10-17 years","Telfair","20","0","0"
"18-29 years","Telfair","135","0","3"
"30-39 years","Telfair","90","1","1"
"40-49 years","Telfair","96","1","5"
"50-59 years","Telfair","99","5","10"
"60-69 years","Telfair","102","8","17"
"70-79 years","Telfair","69","10","17"
"80 & Older years","Telfair","40","14","9"
"<1 years","Telfair","4","0","0"
"Unknown years","Telfair","1","0","0"
"01-04 years","Terrell","5","0","0"
"05-09 years","Terrell","6","0","0"
"10-17 years","Terrell","38","0","0"
"18-29 years","Terrell","62","0","1"
"30-39 years","Terrell","71","0","8"
"40-49 years","Terrell","57","0","7"
"50-59 years","Terrell","90","3","14"
"60-69 years","Terrell","89","11","32"
"70-79 years","Terrell","57","12","24"
"80 & Older years","Terrell","36","10","15"
"01-04 years","Thomas","55","0","1"
"05-09 years","Thomas","102","0","0"
"10-17 years","Thomas","278","0","2"
"18-29 years","Thomas","560","1","19"
"30-39 years","Thomas","455","1","16"
"40-49 years","Thomas","485","4","27"
"50-59 years","Thomas","514","8","39"
"60-69 years","Thomas","411","10","79"
"70-79 years","Thomas","247","31","62"
"80 & Older years","Thomas","159","38","48"
"<1 years","Thomas","13","0","1"
"Unknown years","Thomas","5","0","0"
"01-04 years","Tift","32","0","1"
"05-09 years","Tift","58","0","3"
"10-17 years","Tift","222","0","6"
"18-29 years","Tift","752","0","20"
"30-39 years","Tift","527","1","27"
"40-49 years","Tift","525","7","56"
"50-59 years","Tift","453","9","67"
"60-69 years","Tift","342","16","69"
"70-79 years","Tift","236","26","85"
"80 & Older years","Tift","131","29","58"
"<1 years","Tift","12","0","0"
"Unknown years","Tift","2","0","0"
"01-04 years","Toombs","28","0","0"
"05-09 years","Toombs","44","0","0"
"10-17 years","Toombs","194","0","1"
"18-29 years","Toombs","485","0","5"
"30-39 years","Toombs","390","0","3"
"40-49 years","Toombs","393","1","20"
"50-59 years","Toombs","385","7","21"
"60-69 years","Toombs","357","9","41"
"70-79 years","Toombs","238","29","37"
"80 & Older years","Toombs","141","32","27"
"<1 years","Toombs","5","0","0"
"Unknown years","Toombs","8","0","0"
"01-04 years","Towns","2","0","0"
"05-09 years","Towns","6","0","0"
"10-17 years","Towns","39","0","1"
"18-29 years","Towns","117","0","4"
"30-39 years","Towns","77","0","3"
"40-49 years","Towns","100","2","5"
"50-59 years","Towns","140","2","12"
"60-69 years","Towns","183","1","16"
"70-79 years","Towns","139","6","33"
"80 & Older years","Towns","92","21","38"
"Unknown years","Towns","22","0","0"
"01-04 years","Treutlen","5","0","0"
"05-09 years","Treutlen","14","0","0"
"10-17 years","Treutlen","39","0","0"
"18-29 years","Treutlen","98","0","2"
"30-39 years","Treutlen","90","0","4"
"40-49 years","Treutlen","94","0","5"
"50-59 years","Treutlen","92","1","6"
"60-69 years","Treutlen","64","4","11"
"70-79 years","Treutlen","51","9","10"
"80 & Older years","Treutlen","30","5","9"
"01-04 years","Troup","119","0","1"
"05-09 years","Troup","160","0","0"
"10-17 years","Troup","462","0","3"
"18-29 years","Troup","1085","1","27"
"30-39 years","Troup","810","6","41"
"40-49 years","Troup","723","4","45"
"50-59 years","Troup","741","13","93"
"60-69 years","Troup","568","25","83"
"70-79 years","Troup","294","37","79"
"80 & Older years","Troup","225","64","55"
"<1 years","Troup","36","0","1"
"Unknown years","Troup","6","0","0"
"01-04 years","Turner","3","0","0"
"05-09 years","Turner","6","0","0"
"10-17 years","Turner","19","0","0"
"18-29 years","Turner","81","0","2"
"30-39 years","Turner","99","0","9"
"40-49 years","Turner","102","0","5"
"50-59 years","Turner","91","2","11"
"60-69 years","Turner","81","8","26"
"70-79 years","Turner","51","5","12"
"80 & Older years","Turner","35","12","14"
"<1 years","Turner","2","0","1"
"01-04 years","Twiggs","9","0","0"
"05-09 years","Twiggs","6","0","1"
"10-17 years","Twiggs","21","0","0"
"18-29 years","Twiggs","63","0","2"
"30-39 years","Twiggs","57","1","4"
"40-49 years","Twiggs","56","1","6"
"50-59 years","Twiggs","87","3","10"
"60-69 years","Twiggs","95","5","25"
"70-79 years","Twiggs","51","6","19"
"80 & Older years","Twiggs","24","8","14"
"01-04 years","Union","7","0","0"
"05-09 years","Union","16","0","0"
"10-17 years","Union","64","0","1"
"18-29 years","Union","229","1","1"
"30-39 years","Union","191","0","2"
"40-49 years","Union","200","0","13"
"50-59 years","Union","267","4","16"
"60-69 years","Union","322","4","37"
"70-79 years","Union","283","20","46"
"80 & Older years","Union","192","30","56"
"<1 years","Union","1","0","0"
"Unknown years","Union","32","0","0"
"01-04 years","Unknown","33","0","0"
"05-09 years","Unknown","62","0","0"
"10-17 years","Unknown","217","0","0"
"18-29 years","Unknown","868","1","5"
"30-39 years","Unknown","470","1","3"
"40-49 years","Unknown","432","1","2"
"50-59 years","Unknown","356","3","9"
"60-69 years","Unknown","216","1","6"
"70-79 years","Unknown","133","1","12"
"80 & Older years","Unknown","57","1","5"
"<1 years","Unknown","25","0","0"
"Unknown years","Unknown","184","0","3"
"01-04 years","Upson","32","0","0"
"05-09 years","Upson","42","0","0"
"10-17 years","Upson","121","0","1"
"18-29 years","Upson","276","0","5"
"30-39 years","Upson","191","2","8"
"40-49 years","Upson","220","1","9"
"50-59 years","Upson","237","5","19"
"60-69 years","Upson","219","18","31"
"70-79 years","Upson","152","29","38"
"80 & Older years","Upson","101","33","32"
"<1 years","Upson","14","0","0"
"Unknown years","Upson","10","0","0"
"01-04 years","Walker","68","0","1"
"05-09 years","Walker","110","0","1"
"10-17 years","Walker","430","0","3"
"18-29 years","Walker","952","0","13"
"30-39 years","Walker","692","0","12"
"40-49 years","Walker","855","3","25"
"50-59 years","Walker","722","3","31"
"60-69 years","Walker","612","12","52"
"70-79 years","Walker","417","25","46"
"80 & Older years","Walker","205","24","25"
"<1 years","Walker","35","0","1"
"Unknown years","Walker","177","0","6"
"01-04 years","Walton","67","0","1"
"05-09 years","Walton","137","0","1"
"10-17 years","Walton","511","0","5"
"18-29 years","Walton","1187","0","24"
"30-39 years","Walton","993","0","22"
"40-49 years","Walton","1098","2","46"
"50-59 years","Walton","1101","8","72"
"60-69 years","Walton","762","23","68"
"70-79 years","Walton","568","52","85"
"80 & Older years","Walton","360","76","70"
"<1 years","Walton","23","0","2"
"Unknown years","Walton","16","0","0"
"01-04 years","Ware","57","0","1"
"05-09 years","Ware","64","0","0"
"10-17 years","Ware","221","0","3"
"18-29 years","Ware","518","1","5"
"30-39 years","Ware","424","1","17"
"40-49 years","Ware","347","2","24"
"50-59 years","Ware","378","12","53"
"60-69 years","Ware","282","12","54"
"70-79 years","Ware","237","35","84"
"80 & Older years","Ware","201","47","57"
"<1 years","Ware","18","0","1"
"Unknown years","Ware","9","0","1"
"01-04 years","Warren","6","0","0"
"05-09 years","Warren","2","0","0"
"10-17 years","Warren","24","0","0"
"18-29 years","Warren","60","0","3"
"30-39 years","Warren","49","0","4"
"40-49 years","Warren","46","2","5"
"50-59 years","Warren","64","1","7"
"60-69 years","Warren","43","2","7"
"70-79 years","Warren","32","2","10"
"80 & Older years","Warren","14","1","5"
"<1 years","Warren","2","0","1"
"Unknown years","Warren","4","0","0"
"01-04 years","Washington","15","0","0"
"05-09 years","Washington","22","0","0"
"10-17 years","Washington","107","0","2"
"18-29 years","Washington","237","0","6"
"30-39 years","Washington","223","0","8"
"40-49 years","Washington","240","2","11"
"50-59 years","Washington","231","2","14"
"60-69 years","Washington","218","10","26"
"70-79 years","Washington","123","8","21"
"80 & Older years","Washington","75","17","11"
"<1 years","Washington","10","0","0"
"Unknown years","Washington","6","0","0"
"01-04 years","Wayne","29","0","1"
"05-09 years","Wayne","23","0","0"
"10-17 years","Wayne","127","0","1"
"18-29 years","Wayne","372","1","8"
"30-39 years","Wayne","369","1","9"
"40-49 years","Wayne","431","1","30"
"50-59 years","Wayne","368","5","31"
"60-69 years","Wayne","289","14","57"
"70-79 years","Wayne","243","22","68"
"80 & Older years","Wayne","115","18","24"
"<1 years","Wayne","3","0","0"
"Unknown years","Wayne","4","0","0"
"10-17 years","Webster","3","0","0"
"18-29 years","Webster","16","0","1"
"30-39 years","Webster","7","0","0"
"40-49 years","Webster","14","0","2"
"50-59 years","Webster","17","2","4"
"60-69 years","Webster","21","1","4"
"70-79 years","Webster","7","0","1"
"80 & Older years","Webster","3","0","0"
"Unknown years","Webster","2","0","0"
"01-04 years","Wheeler","1","0","0"
"05-09 years","Wheeler","5","0","0"
"10-17 years","Wheeler","23","0","0"
"18-29 years","Wheeler","49","0","0"
"30-39 years","Wheeler","73","2","2"
"40-49 years","Wheeler","77","1","3"
"50-59 years","Wheeler","88","6","9"
"60-69 years","Wheeler","53","3","6"
"70-79 years","Wheeler","39","5","11"
"80 & Older years","Wheeler","9","3","1"
"<1 years","Wheeler","1","0","0"
"Unknown years","Wheeler","26","0","1"
"01-04 years","White","12","0","0"
"05-09 years","White","48","0","0"
"10-17 years","White","203","0","2"
"18-29 years","White","402","1","7"
"30-39 years","White","294","1","7"
"40-49 years","White","372","1","15"
"50-59 years","White","438","4","34"
"60-69 years","White","413","9","60"
"70-79 years","White","304","12","73"
"80 & Older years","White","174","27","64"
"<1 years","White","5","0","0"
"Unknown years","White","58","0","2"
"01-04 years","Whitfield","186","0","2"
"05-09 years","Whitfield","349","0","3"
"10-17 years","Whitfield","1244","0","6"
"18-29 years","Whitfield","3238","0","41"
"30-39 years","Whitfield","2092","4","55"
"40-49 years","Whitfield","2195","4","71"
"50-59 years","Whitfield","1991","21","110"
"60-69 years","Whitfield","1172","29","131"
"70-79 years","Whitfield","680","41","126"
"80 & Older years","Whitfield","386","70","108"
"<1 years","Whitfield","67","0","5"
"Unknown years","Whitfield","28","0","2"
"01-04 years","Wilcox","10","0","0"
"05-09 years","Wilcox","9","0","0"
"10-17 years","Wilcox","23","0","0"
"18-29 years","Wilcox","39","0","0"
"30-39 years","Wilcox","42","0","1"
"40-49 years","Wilcox","71","0","12"
"50-59 years","Wilcox","78","1","14"
"60-69 years","Wilcox","82","9","23"
"70-79 years","Wilcox","52","9","10"
"80 & Older years","Wilcox","22","7","6"
"<1 years","Wilcox","5","0","0"
"Unknown years","Wilcox","1","0","0"
"01-04 years","Wilkes","8","0","0"
"05-09 years","Wilkes","16","0","0"
"10-17 years","Wilkes","49","0","0"
"18-29 years","Wilkes","107","0","1"
"30-39 years","Wilkes","80","0","4"
"40-49 years","Wilkes","100","0","11"
"50-59 years","Wilkes","92","2","3"
"60-69 years","Wilkes","68","1","12"
"70-79 years","Wilkes","62","5","18"
"80 & Older years","Wilkes","25","7","12"
"<1 years","Wilkes","3","0","0"
"Unknown years","Wilkes","1","0","0"
"01-04 years","Wilkinson","6","0","0"
"05-09 years","Wilkinson","10","0","0"
"10-17 years","Wilkinson","27","0","1"
"18-29 years","Wilkinson","102","0","3"
"30-39 years","Wilkinson","82","0","5"
"40-49 years","Wilkinson","88","0","6"
"50-59 years","Wilkinson","138","4","23"
"60-69 years","Wilkinson","123","7","34"
"70-79 years","Wilkinson","53","6","21"
"80 & Older years","Wilkinson","34","4","15"
"Unknown years","Wilkinson","2","0","0"
"01-04 years","Worth","13","0","0"
"05-09 years","Worth","12","0","0"
"10-17 years","Worth","73","0","3"
"18-29 years","Worth","170","0","7"
"30-39 years","Worth","136","0","10"
"40-49 years","Worth","147","1","13"
"50-59 years","Worth","180","4","24"
"60-69 years","Worth","188","18","49"
"70-79 years","Worth","114","13","27"
"80 & Older years","Worth","68","13","22"
"<1 years","Worth","4","0","0"
"Unknown years","Worth","1","0","0"
