county_name,cases,county_id,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases,antigen_cases,probable_deaths
Toombs,2668,US-13279,13,279,26983,155,78,9887.71,289.07,504.02,136,388,14
Towns,917,US-13281,13,281,12034,112,32,7620.08,265.91,332.39,40,92,11
Treutlen,577,US-13283,13,283,6829,47,19,8449.26,278.23,658.95,45,191,3
Troup,5229,US-13285,13,285,70414,428,150,7426.08,213.03,465.82,328,1364,23
Turner,570,US-13287,13,287,8076,80,27,7057.95,334.32,297.18,24,345,2
Twiggs,469,US-13289,13,289,8086,81,24,5800.15,296.81,234.97,19,108,4
Union,1804,US-13291,13,291,25335,172,59,7120.58,232.88,449.97,114,119,3
Unknown,3053,US-.,.,.,0,45,9,0,0,0,182,874,0
Upson,1615,US-13293,13,293,26277,143,88,6146.06,334.89,369.14,97,1445,14
Walker,5275,US-13295,13,295,69610,216,67,7577.93,96.25,622.04,433,536,5
Walton,6823,US-13297,13,297,95814,396,161,7121.09,168.03,616.82,591,1689,11
Ware,2756,US-13299,13,299,35853,300,110,7686.94,306.81,410.01,147,1600,14
Warren,346,US-13301,13,301,5210,42,8,6641.07,153.55,767.75,40,129,2
Washington,1507,US-13303,13,303,20302,99,39,7422.91,192.1,536.89,109,339,18
Wayne,2373,US-13305,13,305,29974,229,62,7916.86,206.85,587.18,176,678,6
Webster,90,US-13307,13,307,2550,12,3,3529.41,117.65,313.73,8,34,0
Wheeler,444,US-13309,13,309,7909,33,20,5613.86,252.88,265.52,21,153,2
White,2723,US-13311,13,311,31758,264,55,8574.22,173.18,607.72,193,132,9
Whitfield,13628,US-13313,13,313,104672,660,169,13019.72,161.46,728.94,763,1585,9
Wilcox,434,US-13315,13,315,8790,66,26,4937.43,295.79,182.03,16,300,17
Wilkes,611,US-13317,13,317,10014,61,15,6101.46,149.79,499.3,50,328,5
Wilkinson,665,US-13319,13,319,8919,108,21,7455.99,235.45,325.15,29,158,0
Worth,1106,US-13321,13,321,20142,155,49,5491.01,243.27,218.45,44,520,5
