UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,19,4276173,2182927,2093246,1598966,1523368,327333,318798,32981,31959,123692,122453,5961,5877,93994,90791,1684342,1605963,374891,365189,55430,53601,158364,155417,13115,12829,1665525,1596716,1148066,1090427,301361,294157,18139,17612,118519,117625,4262,4084,75178,72811,1216466,1156871,340027,332097,33229,32186,147786,145440,9654,9343,517402,496530,450900,432941,25972,24641,14842,14347,5173,4828,1699,1793,18816,17980,467876,449092,34864,33092,22201,21415,10578,9977,3461,3486
R,7,2020,20,4347938,2223374,2124564,1628555,1545119,337795,327767,33993,32496,124317,123256,6204,5860,92510,90066,1712676,1626646,384421,374048,56925,54722,157732,155435,13233,12729,1703160,1628811,1174740,1112948,311841,302953,18829,18054,119131,118408,4433,4182,74186,72266,1242345,1178532,349834,340742,34301,33184,147459,145499,9801,9394,520214,495753,453815,432171,25954,24814,15164,14442,5186,4848,1771,1678,18324,17800,470331,448114,34587,33306,22624,21538,10273,9936,3432,3335
R,7,2020,21,4287464,2191670,2095794,1609052,1528505,330189,320833,32899,31878,123422,121948,6097,5681,90011,86949,1690716,1607212,375197,365067,55443,53980,155956,152795,13287,12375,1686868,1613826,1168639,1108166,304905,296764,18344,17858,118315,117103,4318,4091,72347,69844,1234447,1171523,341694,333081,33808,33093,145812,142954,9818,9212,504802,481968,440413,420339,25284,24069,14555,14020,5107,4845,1779,1590,17664,17105,456269,435689,33503,31986,21635,20887,10144,9841,3469,3163
R,7,2020,22,4299343,2197339,2102004,1608676,1528060,332407,323163,32950,31964,130162,128464,6108,5765,87036,84588,1687379,1604708,375610,365745,55272,53755,161401,158367,12920,12204,1697239,1626245,1171751,1112568,307625,299568,18270,18100,125222,123671,4405,4157,69966,68181,1235151,1174509,342994,334502,33590,33274,151646,148920,9668,9097,500100,475759,436925,415492,24782,23595,14680,13864,4940,4793,1703,1608,17070,16407,452228,430199,32616,31243,21682,20481,9755,9447,3252,3107
R,7,2020,23,4321027,2205595,2115432,1612956,1536601,331692,323579,32769,31461,137584,135387,6121,5662,84473,82742,1689353,1611208,372873,364641,55125,53537,168161,164738,12803,12200,1708168,1642981,1178412,1123572,307146,300524,18107,17769,132646,130659,4401,4116,67456,66341,1239579,1183447,340464,334014,33423,33071,158467,155434,9523,9142,497427,472451,434544,413029,24546,23055,14662,13692,4938,4728,1720,1546,17017,16401,449774,427761,32409,30627,21702,20466,9694,9304,3280,3058
R,7,2020,24,4363070,2230735,2132335,1632002,1547482,332067,324933,32853,31250,144349,142331,6311,5959,83153,80380,1707074,1619887,371934,364137,55502,53270,174540,171247,12954,12471,1733994,1661278,1197297,1135063,307865,302154,18330,17641,139522,137576,4561,4313,66419,64531,1257364,1193295,340118,334057,33877,32946,165109,162046,9719,9417,496741,471057,434705,412419,24202,22779,14523,13609,4827,4755,1750,1646,16734,15849,449710,426592,31816,30080,21625,20324,9431,9201,3235,3054
R,7,2020,25,4464955,2285574,2179381,1664676,1574288,350237,340204,33444,32045,148994,147500,6554,6287,81669,79057,1737912,1644979,388831,378567,56520,54209,178670,175899,13400,12914,1781652,1703842,1223480,1157972,325307,316836,18898,18172,143985,142789,4784,4577,65198,63496,1281934,1214826,356386,347973,34979,33823,169246,166835,10088,9777,503922,475539,441196,416316,24930,23368,14546,13873,5009,4711,1770,1710,16471,15561,455978,430153,32445,30594,21541,20386,9424,9064,3312,3137
R,7,2020,26,4558612,2333470,2225142,1692170,1597862,366653,356277,34086,32906,154627,153672,6567,6448,79367,77977,1762938,1667301,403184,393308,57265,55699,183832,181714,13577,13127,1823615,1746091,1244874,1178390,341389,332592,19577,18860,149789,148868,4846,4760,63140,62621,1301160,1234174,370659,362655,35753,35053,174565,172637,10303,9971,509855,479051,447296,419472,25264,23685,14509,14046,4838,4804,1721,1688,16227,15356,461778,433127,32525,30653,21512,20646,9267,9077,3274,3156
R,7,2020,27,4630054,2373014,2257040,1717053,1616547,378847,365476,35454,33644,158610,159968,6818,6466,76232,74939,1784803,1683023,413161,400274,58383,56302,186963,187126,13584,13060,1859021,1778550,1266211,1197205,353031,341833,20330,19573,153809,155124,4978,4758,60662,60057,1320131,1250494,380359,369811,36337,35664,178058,178302,10314,9936,513993,478490,450842,419342,25816,23643,15124,14071,4801,4844,1840,1708,15570,14882,464672,432529,32802,30463,22046,20638,8905,8824,3270,3124
R,7,2020,28,4750665,2427597,2323068,1758465,1662925,384987,375983,36859,34346,165393,168547,7107,6621,74786,74646,1824492,1728661,417284,409659,60133,56969,193704,196631,14039,13454,1905824,1838206,1301226,1238994,358819,350972,21162,20193,160421,163508,5113,4878,59083,59661,1353327,1291567,384081,377804,37424,36267,184615,187460,10586,10171,521773,484862,457239,423931,26168,25011,15697,14153,4972,5039,1994,1743,15703,14985,471165,437094,33203,31855,22709,20702,9089,9171,3453,3283
